IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160004558,ASSAULT,BATTERY WITH SERIOUS INJURIES,Saturday,01/02/2016 12:00:00 AM,16:40,MISSION,NONE,VALENCIA ST / 26TH ST,-122.420354780861,37.7489063051829,"(37.7489063051829, -122.420354780861)",16000455804136
160004655,ASSAULT,BATTERY,Saturday,01/02/2016 12:00:00 AM,17:05,INGLESIDE,NONE,900 Block of GENEVA AV,-122.439909766772,37.715765426995,"(37.715765426995, -122.439909766772)",16000465504134
160004837,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Saturday,01/02/2016 12:00:00 AM,17:39,SOUTHERN,JUVENILE BOOKED,900 Block of MARKET ST,-122.408421116922,37.7835699386918,"(37.7835699386918, -122.408421116922)",16000483706362
160005421,FRAUD,FRAUDULENT USE OF AUTOMATED TELLER CARD,Saturday,01/02/2016 12:00:00 AM,21:00,NORTHERN,NONE,GOUGH ST / ROSE ST,-122.422315670749,37.7736186276456,"(37.7736186276456, -122.422315670749)",16000542109250
160005750,WARRANTS,WARRANT ARREST,Sunday,01/03/2016 12:00:00 AM,04:03,NORTHERN,"ARREST, BOOKED",FRANKLIN ST / WASHINGTON ST,-122.424519835009,37.7928412840447,"(37.7928412840447, -122.424519835009)",16000575063010
160005841,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,01/03/2016 12:00:00 AM,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-122.414233849038,37.7540986882068,"(37.7540986882068, -122.414233849038)",16000584116710
160005841,OTHER OFFENSES,PROBATION VIOLATION,Sunday,01/03/2016 12:00:00 AM,06:50,MISSION,"ARREST, BOOKED",23RD ST / FOLSOM ST,-122.414233849038,37.7540986882068,"(37.7540986882068, -122.414233849038)",16000584126170
160006071,ASSAULT,THREATS AGAINST LIFE,Sunday,01/03/2016 12:00:00 AM,09:38,RICHMOND,"ARREST, BOOKED",FULTON ST / 47TH AV,-122.507750131004,37.7714939969416,"(37.7714939969416, -122.507750131004)",16000607119057
160006598,OTHER OFFENSES,VIOLATION OF STAY AWAY ORDER,Sunday,01/03/2016 12:00:00 AM,15:09,TARAVAL,"ARREST, BOOKED",0 Block of CAMBON DR,-122.474444639595,37.718302204766,"(37.718302204766, -122.474444639595)",16000659815162
160006770,OTHER OFFENSES,LOST/STOLEN LICENSE PLATE,Sunday,01/03/2016 12:00:00 AM,10:30,MISSION,NONE,16TH ST / LANDERS ST,-122.427562596985,37.7645752317615,"(37.7645752317615, -122.427562596985)",16000677071010
160006786,BURGLARY,"BURGLARY, VEHICLE (ARREST MADE)",Sunday,01/03/2016 12:00:00 AM,15:45,NORTHERN,"ARREST, BOOKED",0 Block of HEMLOCK ST,-122.419203004268,37.7874378309112,"(37.7874378309112, -122.419203004268)",16000678605014
160006952,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Sunday,01/03/2016 12:00:00 AM,17:02,MISSION,"ARREST, BOOKED",26TH ST / TREAT AV,-122.412690142308,37.7493688284532,"(37.7493688284532, -122.412690142308)",16000695265010
160007057,NON-CRIMINAL,AIDED CASE,Sunday,01/03/2016 12:00:00 AM,17:01,INGLESIDE,NONE,500 Block of CORDOVA ST,-122.434609280352,37.7092010462379,"(37.7092010462379, -122.434609280352)",16000705751040
160007110,VEHICLE THEFT,STOLEN TRUCK,Sunday,01/03/2016 12:00:00 AM,15:40,CENTRAL,NONE,500 Block of POST ST,-122.410882825551,37.7879209375533,"(37.7879209375533, -122.410882825551)",16000711007025
160007132,VEHICLE THEFT,STOLEN AUTOMOBILE,Sunday,01/03/2016 12:00:00 AM,09:00,CENTRAL,NONE,GREEN ST / BATTERY ST,-122.401432754722,37.8004566471039,"(37.8004566471039, -122.401432754722)",16000713207021
160138652,LARCENY/THEFT,PETTY THEFT SHOPLIFTING,Tuesday,02/16/2016 12:00:00 AM,12:40,INGLESIDE,NONE,3300 Block of MISSION ST,-122.421128029505,37.7435550542265,"(37.7435550542265, -122.421128029505)",16013865206362
160138771,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Tuesday,02/16/2016 12:00:00 AM,13:10,TENDERLOIN,NONE,100 Block of OFARRELL ST,-122.407244087032,37.7865647607685,"(37.7865647607685, -122.407244087032)",16013877104012
160139490,RECOVERED VEHICLE,"VEHICLE, RECOVERED, AUTO",Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.423803001901,37.7615655928045,"(37.7615655928045, -122.423803001901)",16013949007041
160139490,OTHER OFFENSES,PAROLE VIOLATION,Tuesday,02/16/2016 12:00:00 AM,16:35,MISSION,"ARREST, BOOKED",18TH ST / GUERRERO ST,-122.423803001901,37.7615655928045,"(37.7615655928045, -122.423803001901)",16013949026150
160007502,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,01/03/2016 12:00:00 AM,19:45,INGLESIDE,NONE,100 Block of AMBER DR,-122.444685482273,37.7441927508932,"(37.7441927508932, -122.444685482273)",16000750261040
160148877,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,02/19/2016 12:00:00 AM,16:39,SOUTHERN,NONE,1300 Block of MISSION ST,-122.415757039196,37.7754692820041,"(37.7754692820041, -122.415757039196)",16014887764020
160009956,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Monday,01/04/2016 12:00:00 AM,17:50,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-122.475647460786,37.7285280627465,"(37.7285280627465, -122.475647460786)",16000995603044
160010323,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,01/04/2016 12:00:00 AM,20:15,INGLESIDE,NONE,0 Block of VIRGINIA AV,-122.420967440564,37.7428517374449,"(37.7428517374449, -122.420967440564)",16001032315161
160010486,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,01/04/2016 12:00:00 AM,21:20,TENDERLOIN,NONE,100 Block of HYDE ST,-122.415669661443,37.7821198488931,"(37.7821198488931, -122.415669661443)",16001048628100
160010492,ASSAULT,THREATS AGAINST LIFE,Sunday,01/03/2016 12:00:00 AM,21:30,SOUTHERN,NONE,200 Block of 6TH ST,-122.406346425632,37.7791674218963,"(37.7791674218963, -122.406346425632)",16001049219057
160010505,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01/04/2016 12:00:00 AM,19:40,MISSION,NONE,2300 Block of 16TH ST,-122.409529913278,37.7657184395282,"(37.7657184395282, -122.409529913278)",16001050506244
160010511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/04/2016 12:00:00 AM,21:45,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403404791479,37.775420706711,"(37.775420706711, -122.403404791479)",16001051164020
160010527,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,01/04/2016 12:00:00 AM,20:08,MISSION,NONE,1500 Block of BRYANT ST,-122.410738097315,37.767524308783,"(37.767524308783, -122.410738097315)",16001052705151
160010527,ARSON,ARSON OF A COMMERCIAL BUILDING,Monday,01/04/2016 12:00:00 AM,20:08,MISSION,NONE,1500 Block of BRYANT ST,-122.410738097315,37.767524308783,"(37.767524308783, -122.410738097315)",16001052726032
140927099,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,10/26/2016 12:00:00 AM,19:37,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.444314025188,37.7131083433264,"(37.7131083433264, -122.444314025188)",14092709905041
140927099,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,10/26/2016 12:00:00 AM,19:37,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-122.444314025188,37.7131083433264,"(37.7131083433264, -122.444314025188)",14092709916010
141000705,MISSING PERSON,MISSING ADULT,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-122.403644620439,37.7660160114103,"(37.7660160114103, -122.403644620439)",14100070574000
141000705,MISSING PERSON,FOUND PERSON,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-122.403644620439,37.7660160114103,"(37.7660160114103, -122.403644620439)",14100070575000
